Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.955317      +0.02%         0.26 ms/ev ->        22.84 ms/ev hpsPFTauDiscriminationByMVA6MediumElectronRejection
   +1.952919      +0.02%         0.25 ms/ev ->        20.99 ms/ev hpsPFTauDiscriminationByMVA6TightElectronRejection
   +1.951572      +0.02%         0.26 ms/ev ->        21.05 ms/ev hpsPFTauDiscriminationByMVA6VTightElectronRejection
   +1.951128      +0.02%         0.26 ms/ev ->        21.02 ms/ev hpsPFTauDiscriminationByMVA6VLooseElectronRejection
   +1.945617      +0.02%         0.29 ms/ev ->        21.04 ms/ev hpsPFTauDiscriminationByMVA6LooseElectronRejection
   +1.939820      +0.01%         0.24 ms/ev ->        15.84 ms/ev l1extraParticles
   +1.934315      +0.00%         0.06 ms/ev ->         3.47 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWoldDMwLT
   +1.920207      +0.00%         0.05 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWoldDMwLT
   +1.919972      +0.00%         0.06 ms/ev ->         2.84 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWdR03oldDMwLT
   +1.918789      +0.00%         0.06 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBnewDMwLT
   +1.918729      +0.00%         0.06 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBnewDMwLT
   +1.918056      +0.00%         0.06 ms/ev ->         2.82 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWdR03oldDMwLT
   +1.917313      +0.00%         0.06 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBnewDMwLT
   +1.917282      +0.00%         0.06 ms/ev ->         2.65 ms/ev multi5x5SuperClustersWithPreshower
   +1.917037      +0.00%         0.06 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLT
   +1.916115      +0.00%         0.06 ms/ev ->         2.66 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBnewDMwLT
   +1.915898      +0.00%         0.06 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBnewDMwLT
   +1.914773      +0.00%         0.06 ms/ev ->         2.76 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWdR03oldDMwLT
   +1.914612      +0.00%         0.06 ms/ev ->         2.66 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBoldDMwLT
   +1.914423      +0.00%         0.06 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT
   +1.914391      +0.00%         0.06 ms/ev ->         2.65 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBoldDMwLT
