Parsing start
ol: CMSSW_10_6_0_pre3/src/TimeMemory/step3.log, sl: CMSSW_10_6_0_pre4/src/TimeMemory/step3.log
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.04 ms/ev lowPtGsfToTrackLinks
   +1.064516      +0.00%         0.03 ms/ev ->         0.10 ms/ev ak8PFJetsCHSSoftDropMass
   +1.000000      +0.00%         0.00 ms/ev ->         0.00 ms/ev recosim_step
   +0.868750      +0.10%         2.35 ms/ev ->         5.97 ms/ev allConversions
   +0.810731      +0.56%        15.29 ms/ev ->        36.15 ms/ev conversionTrackCandidates
   +0.796909      +0.02%         0.55 ms/ev ->         1.27 ms/ev me0Segments
   +0.690240      +0.05%         1.81 ms/ev ->         3.73 ms/ev muonSeededSeedsOutInDisplaced
   +0.627153      +0.02%         0.86 ms/ev ->         1.64 ms/ev conversions
   +0.608342      +0.22%         9.40 ms/ev ->        17.62 ms/ev pfChargeBJetTags
   +0.586269      +0.03%         1.18 ms/ev ->         2.17 ms/ev interestingGedGamIsoDetIdEB
   +0.573505      +0.01%         0.64 ms/ev ->         1.15 ms/ev CSCHaloData
   +0.528760      +0.01%         0.70 ms/ev ->         1.20 ms/ev particleFlowSuperClusterHGCalFromMultiCl
   +0.515623      +0.05%         2.79 ms/ev ->         4.73 ms/ev pixelPairStepTrackCandidates
   +0.494139      +0.50%        28.71 ms/ev ->        47.55 ms/ev particleFlowClusterHGCal
   +0.456865      +0.01%         0.64 ms/ev ->         1.01 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWoldDMwLT
   +0.451074      +0.01%         0.65 ms/ev ->         1.03 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBnewDMwLT
   +0.442214      +0.05%         3.18 ms/ev ->         4.99 ms/ev muonsFromCosmics
   +0.413974      +0.01%         0.45 ms/ev ->         0.69 ms/ev reducedEcalRecHitsEB
   +0.410904      +0.35%        25.65 ms/ev ->        38.91 ms/ev electronCkfTrackCandidatesFromMultiCl
   +0.410080      +0.01%         0.69 ms/ev ->         1.05 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBoldDMwLT
   +0.395553      +0.02%         1.88 ms/ev ->         2.80 ms/ev dt4DSegments
