Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.837925      +0.00%         0.07 ms/ev ->         1.78 ms/ev uncleanedOnlyConversionTrackCandidates
   +1.801166      +0.00%         0.36 ms/ev ->         6.84 ms/ev softPFMuonBJetTags
   -1.521886      -0.00%         3.14 ms/ev ->         0.43 ms/ev totemRPRawToDigi
   +1.142857      +0.00%         0.00 ms/ev ->         0.01 ms/ev highPtTripletStepTrackingRegions
   -0.786693      -0.00%         0.71 ms/ev ->         0.31 ms/ev muonSeededSeedsOutIn
   +0.762439      +0.00%         0.83 ms/ev ->         1.85 ms/ev uncleanedOnlyElectronSeeds
   -0.386060      -6.16%     27453.83 ms/ev ->     18569.87 ms/ev particleFlowClusterHGCal
   +0.342729      +0.00%         0.93 ms/ev ->         1.31 ms/ev ecalPreshowerRecHit
   +0.333781      +0.02%        57.66 ms/ev ->        80.76 ms/ev conversionTrackCandidates
   -0.327947      -0.00%         8.10 ms/ev ->         5.82 ms/ev dt4DSegments
   -0.317331      -0.00%         1.42 ms/ev ->         1.03 ms/ev dt1DCosmicRecHits
   +0.307692      +0.00%         0.72 ms/ev ->         0.97 ms/ev interestingTrackEcalDetIds
   -0.302532      -0.00%         1.82 ms/ev ->         1.34 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejection
   +0.293199      +0.00%         7.26 ms/ev ->         9.76 ms/ev totemRPUVPatternFinder
   -0.285087      -0.00%         7.80 ms/ev ->         5.86 ms/ev particleFlowClusterHCAL
   +0.237937      +0.00%        11.65 ms/ev ->        14.80 ms/ev vertexMerger
   -0.212820      -0.00%         6.93 ms/ev ->         5.60 ms/ev dt4DCosmicSegments
   -0.188940      -0.00%        14.39 ms/ev ->        11.91 ms/ev pfCombinedCvsBJetTags
   -0.144532      -0.00%        24.56 ms/ev ->        21.25 ms/ev gedGsfElectrons
   +0.127015      +0.01%        98.34 ms/ev ->       111.68 ms/ev inclusiveVertexFinder
   +0.121730      +0.01%       110.51 ms/ev ->       124.83 ms/ev inclusiveCandidateVertexFinder
   +0.121411      +0.01%       110.89 ms/ev ->       125.22 ms/ev inclusiveCandidateVertexFinderCvsL
   +0.094437      +0.03%       370.60 ms/ev ->       407.33 ms/ev trackVertexArbitrator
   -0.090109      -0.00%        21.97 ms/ev ->        20.07 ms/ev pfCombinedCvsLJetTags
   +0.085485      +0.02%       378.72 ms/ev ->       412.54 ms/ev candidateVertexArbitrator
   -0.076333      -0.00%         9.87 ms/ev ->         9.15 ms/ev muonsFromCosmics1Leg
   -0.076126      -0.00%         5.36 ms/ev ->         4.97 ms/ev particleFlowClusterECAL
   +0.067763      +0.02%       453.98 ms/ev ->       485.82 ms/ev candidateVertexArbitratorCvsL
   +0.061917      +0.00%         5.82 ms/ev ->         6.19 ms/ev gedGsfElectronCores
   -0.059570      -0.01%       249.44 ms/ev ->       235.01 ms/ev gsfGeneralInOutOutInConversionTrackMerger
