Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   +1.808499      +0.00%         0.09 ms/ev ->         1.77 ms/ev uncleanedOnlyConversionTrackCandidates
   -1.660000      -0.00%         0.18 ms/ev ->         0.02 ms/ev pfDisplacedTrackerVertex
   +1.485714      +0.00%         0.01 ms/ev ->         0.06 ms/ev muidTrackerMuonArbitrated
   -0.999166      -0.01%        24.27 ms/ev ->         8.10 ms/ev cosmicDCCkfTrackCandidates
   +0.660714      +0.00%         0.90 ms/ev ->         1.79 ms/ev uncleanedOnlyElectronSeeds
   -0.558975      -0.00%         9.58 ms/ev ->         5.40 ms/ev particleFlowClusterECAL
   -0.448523      -6.53%     28006.13 ms/ev ->     17745.74 ms/ev particleFlowClusterHGCal
   +0.350774      +0.00%         0.98 ms/ev ->         1.40 ms/ev ecalPreshowerRecHit
   +0.328768      +0.01%        57.34 ms/ev ->        79.91 ms/ev conversionTrackCandidates
   -0.319706      -0.00%         8.04 ms/ev ->         5.83 ms/ev dt4DSegments
   -0.288382      -0.00%         7.84 ms/ev ->         5.87 ms/ev particleFlowClusterHCAL
   -0.268464      -0.00%         3.16 ms/ev ->         2.41 ms/ev MeasurementTrackerEvent
   +0.229137      +0.00%        11.72 ms/ev ->        14.76 ms/ev vertexMerger
   -0.208293      -0.00%         6.87 ms/ev ->         5.57 ms/ev dt4DCosmicSegments
   -0.207770      -0.15%      1284.93 ms/ev ->      1043.08 ms/ev muonSimClassifier
   -0.158204      -0.00%        44.77 ms/ev ->        38.20 ms/ev HGCalUncalibRecHit
   +0.134133      +0.01%        97.85 ms/ev ->       111.92 ms/ev inclusiveVertexFinder
   +0.131597      +0.01%       109.46 ms/ev ->       124.88 ms/ev inclusiveCandidateVertexFinder
   +0.130339      +0.01%       109.37 ms/ev ->       124.62 ms/ev inclusiveCandidateVertexFinderCvsL
   -0.121805      -0.04%       515.19 ms/ev ->       456.04 ms/ev highPtTripletStepHitTriplets
   -0.119579      -0.00%        16.32 ms/ev ->        14.48 ms/ev dedxPixelHarmonic2
   +0.115835      +0.00%         6.36 ms/ev ->         7.14 ms/ev EcalHaloData
   -0.115073      -0.03%       487.19 ms/ev ->       434.17 ms/ev initialStepHitQuadruplets
   -0.111705      -0.00%         8.19 ms/ev ->         7.33 ms/ev muonsFromCosmics1Leg
   -0.110776      -0.00%        14.85 ms/ev ->        13.29 ms/ev hgcalTrackCollection
   +0.109409      +0.00%         7.34 ms/ev ->         8.19 ms/ev particleFlowEGamma
   +0.108823      +0.00%         4.75 ms/ev ->         5.30 ms/ev pfCombinedSecondaryVertexV2BJetTags
   -0.097048      -0.02%       293.08 ms/ev ->       265.96 ms/ev lowPtTripletStepHitTriplets
