Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.964834      -0.14%        10.60 ms/ev ->         0.09 ms/ev ak4PFPuppiResidualCorrector
   +1.926528      +0.18%         0.25 ms/ev ->        13.52 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBoldDMwLTBoosted
   +1.913978      +0.04%         0.06 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBoldDMwLTBoosted
   +1.909630      +0.04%         0.06 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBoldDMwLTBoosted
   +1.909596      +0.04%         0.06 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBoldDMwLTBoosted
   +1.909563      +0.04%         0.06 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBoldDMwLTBoosted
   +1.908114      +0.04%         0.06 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBoldDMwLTBoosted
   +1.900851      +0.04%         0.07 ms/ev ->         2.64 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBoldDMwLTBoosted
   -1.806630      -0.07%         5.51 ms/ev ->         0.28 ms/ev shiftedPatJetResUpNoHF
   +1.389099      +0.03%         0.52 ms/ev ->         2.91 ms/ev pfCombinedMVAV2BJetTagsAK8Puppi
   -1.081386      -0.02%         1.91 ms/ev ->         0.57 ms/ev pfDeepBoostedJetTagsSlimmedAK8DeepTags
   -0.890504      -0.08%         9.25 ms/ev ->         3.55 ms/ev patMETsPuppi
   +0.885551      +0.03%         1.56 ms/ev ->         4.03 ms/ev slimmedMuons
   -0.815541      -0.02%         2.01 ms/ev ->         0.85 ms/ev pfMassDecorrelatedDeepBoostedJetTagsSlimmedAK8DeepTags
   +0.790987      +0.01%         0.78 ms/ev ->         1.80 ms/ev reducedEgamma
   +0.547964      +0.05%         4.84 ms/ev ->         8.49 ms/ev patElectronsFromMultiCl
   +0.381091      +0.01%         1.11 ms/ev ->         1.64 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejectionBoosted
   -0.350388      -0.00%         0.76 ms/ev ->         0.53 ms/ev corrPfMetType1NoHF
   -0.328477      -0.00%         0.88 ms/ev ->         0.63 ms/ev electronMVAValueMapProducer
   -0.286198      -0.00%         0.68 ms/ev ->         0.51 ms/ev elPFIsoDepositPUPAT
   -0.284855      -0.01%         2.66 ms/ev ->         2.00 ms/ev puppiMerged
   -0.274035      -0.00%         0.75 ms/ev ->         0.57 ms/ev pfAllPhotonsPFBRECO
   -0.272057      -0.01%         2.54 ms/ev ->         1.93 ms/ev pfCombinedInclusiveSecondaryVertexV2BJetTagsAK8Puppi
   -0.250431      -0.04%        14.04 ms/ev ->        10.92 ms/ev puppiForMET
   -0.246933      -0.01%         4.21 ms/ev ->         3.29 ms/ev pfPileUpAllChargedParticlesPFBRECO
   -0.238066      -0.00%         0.93 ms/ev ->         0.73 ms/ev basicJetsForMetNoHF
