Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.01 ms/ev lowPtGsfToTrackLinks
   +1.947368      +0.01%         0.01 ms/ev ->         0.82 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWnewDMwLT
   +1.921500      +0.03%         0.05 ms/ev ->         2.25 ms/ev hpsPFTauDiscriminationByMVA6TightElectronRejection
   +1.917341      +0.03%         0.05 ms/ev ->         2.18 ms/ev hpsPFTauDiscriminationByMVA6VLooseElectronRejection
   +1.916780      +0.03%         0.05 ms/ev ->         2.17 ms/ev hpsPFTauDiscriminationByMVA6VTightElectronRejection
   +1.906391      +0.03%         0.05 ms/ev ->         2.17 ms/ev hpsPFTauDiscriminationByMVA6MediumElectronRejection
   +1.901060      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWoldDMwLT
   +1.900356      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWdR03oldDMwLT
   +1.900356      +0.01%         0.01 ms/ev ->         0.55 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWdR03oldDMwLT
   +1.899821      +0.03%         0.06 ms/ev ->         2.18 ms/ev hpsPFTauDiscriminationByMVA6LooseElectronRejection
   +1.896774      +0.00%         0.01 ms/ev ->         0.30 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBdR03oldDMwLT
   +1.890034      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBoldDMwLT
   +1.888889      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWoldDMwLT
   +1.888545      +0.00%         0.01 ms/ev ->         0.31 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBdR03oldDMwLT
   +1.888502      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBoldDMwLT
   +1.888502      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBdR03oldDMwLT
   +1.888112      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWoldDMwLT
   +1.888112      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBoldDMwLT
   +1.888112      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBoldDMwLT
   +1.888112      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVVLooseIsolationMVArun2v1DBoldDMwLT
   +1.887719      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWdR03oldDMwLT
   +1.887719      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1DBnewDMwLT
   +1.887719      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWoldDMwLT
   +1.886926      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBoldDMwLT
   +1.886926      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1PWdR03oldDMwLT
   +1.886926      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBdR03oldDMwLT
   +1.886926      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVLooseIsolationMVArun2v1DBnewDMwLT
   +1.886926      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBdR03oldDMwLT
   +1.886525      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1DBnewDMwLT
   +1.886525      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWoldDMwLT
   +1.886525      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1DBnewDMwLT
   +1.886525      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWdR03oldDMwLT
   +1.886121      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1DBnewDMwLT
   +1.859649      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWnewDMwLT
   +1.859155      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByVVTightIsolationMVArun2v1PWdR03oldDMwLT
   +1.845614      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByTightIsolationMVArun2v1PWnewDMwLT
   +1.845614      +0.00%         0.01 ms/ev ->         0.27 ms/ev hpsPFTauDiscriminationByVTightIsolationMVArun2v1PWnewDMwLT
   +1.828080      +0.02%         0.07 ms/ev ->         1.67 ms/ev l1extraParticles
   +1.826377      +0.01%         0.03 ms/ev ->         0.57 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWoldDMwLT
   +1.819444      +0.00%         0.01 ms/ev ->         0.28 ms/ev hpsPFTauDiscriminationByMediumIsolationMVArun2v1PWnewDMwLT
   +1.810119      +0.04%         0.15 ms/ev ->         3.05 ms/ev ecalPreshowerRecHit
   +1.808403      +0.03%         0.11 ms/ev ->         2.27 ms/ev dt1DCosmicRecHits
   +1.807560      +0.01%         0.03 ms/ev ->         0.55 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBnewDMwLT
   +1.802385      +0.01%         0.03 ms/ev ->         0.56 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1PWnewDMwLT
   +1.800664      +0.01%         0.03 ms/ev ->         0.57 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBdR03oldDMwLT
   +1.778894      +0.01%         0.03 ms/ev ->         0.56 ms/ev hpsPFTauDiscriminationByLooseIsolationMVArun2v1DBoldDMwLT
   +1.767037      +0.05%         0.19 ms/ev ->         3.14 ms/ev hpsPFTauDiscriminationByMVA6rawElectronRejection
   +1.754822      +0.52%         2.37 ms/ev ->        36.36 ms/ev gedGsfElectrons
   +1.748031      +0.01%         0.04 ms/ev ->         0.60 ms/ev dt1DRecHits
   +1.742919      +0.01%         0.06 ms/ev ->         0.86 ms/ev gtDigis
   -1.740260      -0.00%         0.29 ms/ev ->         0.02 ms/ev offlineBeamSpot
   +1.736842      +0.00%         0.02 ms/ev ->         0.28 ms/ev multi5x5SuperClustersWithPreshower
   +1.699035      +0.02%         0.12 ms/ev ->         1.44 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw
   +1.666903      +0.05%         0.35 ms/ev ->         3.89 ms/ev initialStepSeedLayers
   +1.643021      +0.02%         0.12 ms/ev ->         1.19 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWdR03oldDMwLTraw
   +1.637037      +0.02%         0.15 ms/ev ->         1.47 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw
   +1.626831      +0.02%         0.12 ms/ev ->         1.18 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw
   +1.614951      +0.10%         0.73 ms/ev ->         6.89 ms/ev particleFlowClusterECAL
   +1.530086      +0.00%         0.04 ms/ev ->         0.31 ms/ev softPFMuonBJetTags
   -1.510972      -0.00%         0.28 ms/ev ->         0.04 ms/ev uncleanedOnlyElectronGsfTracks
   +1.450306      +0.07%         0.83 ms/ev ->         5.22 ms/ev csc2DRecHits
   +1.446475      +0.00%         0.05 ms/ev ->         0.33 ms/ev muonDTDigis
   +1.381659      +0.01%         0.18 ms/ev ->         0.97 ms/ev duplicateTrackCandidates
   +1.340824      +0.01%         0.13 ms/ev ->         0.67 ms/ev hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw
   +1.324937      +0.00%         0.07 ms/ev ->         0.33 ms/ev softPFElectronBJetTags
   -1.316842      -0.08%         6.30 ms/ev ->         1.30 ms/ev pfCombinedCvsBJetTags
   -1.309524      -0.02%         1.53 ms/ev ->         0.32 ms/ev pfChargeBJetTags
   -1.265770      -0.10%         8.62 ms/ev ->         1.94 ms/ev pfCombinedCvsLJetTags
   +1.203554      +0.02%         0.49 ms/ev ->         1.98 ms/ev pfCombinedSecondaryVertexV2BJetTags
   -1.122095      -0.03%         2.65 ms/ev ->         0.75 ms/ev initialStepHitDoublets
   -0.884089      -0.02%         2.00 ms/ev ->         0.78 ms/ev siPixelRecHits
   +0.856046      +0.05%         2.23 ms/ev ->         5.58 ms/ev gedGsfElectronsTmp
   +0.792453      +0.01%         0.56 ms/ev ->         1.29 ms/ev MeasurementTrackerEvent
   +0.548571      +0.00%         0.38 ms/ev ->         0.67 ms/ev muonCSCDigis
   +0.486068      +0.00%         0.49 ms/ev ->         0.80 ms/ev particleFlowRecHitECAL
   +0.423336      +0.00%         0.53 ms/ev ->         0.81 ms/ev pfCombinedMVAV2BJetTags
   -0.354159      -0.01%         1.59 ms/ev ->         1.11 ms/ev initialStepHitQuadruplets
   +0.264591      +0.00%         0.89 ms/ev ->         1.16 ms/ev hbhereco
   +0.243153      +0.02%         3.54 ms/ev ->         4.53 ms/ev cosmicDCSeeds
   +0.207641      +0.01%         4.15 ms/ev ->         5.11 ms/ev particleFlowClusterHGCalFromMultiCl
   +0.174024      +0.05%        18.19 ms/ev ->        21.66 ms/ev ecalMultiFitUncalibRecHit
   +0.112441      +0.02%         9.90 ms/ev ->        11.07 ms/ev hgcalMultiClusters
   +0.097705      +0.02%        12.04 ms/ev ->        13.28 ms/ev electronCkfTrackCandidatesFromMultiCl
   +0.062824      +0.02%        17.28 ms/ev ->        18.40 ms/ev electronGsfTracksFromMultiCl
   +0.057901      +0.01%        14.42 ms/ev ->        15.28 ms/ev electronCkfTrackCandidates
   +0.051791      +0.01%         9.82 ms/ev ->        10.34 ms/ev cosmicMuons
  ---------- ------------     --------                  ----       ------------
Job total:  6.48024 s/ev ==> 6.63757 s/ev

The same excluding the first 1 events
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
       added      +0.00%         0.00 ms/ev ->         0.01 ms/ev lowPtGsfToTrackLinks
   +0.243227      +0.02%         3.54 ms/ev ->         4.52 ms/ev cosmicDCSeeds
   +0.207231      +0.01%         4.15 ms/ev ->         5.10 ms/ev particleFlowClusterHGCalFromMultiCl
   +0.112193      +0.02%         9.88 ms/ev ->        11.05 ms/ev hgcalMultiClusters
   +0.094959      +0.02%        12.01 ms/ev ->        13.20 ms/ev electronCkfTrackCandidatesFromMultiCl
   +0.062782      +0.02%        17.24 ms/ev ->        18.36 ms/ev electronGsfTracksFromMultiCl
   +0.056884      +0.01%        14.41 ms/ev ->        15.25 ms/ev electronCkfTrackCandidates
   +0.051413      +0.01%         9.80 ms/ev ->        10.32 ms/ev cosmicMuons
   +0.050620      +0.01%        12.11 ms/ev ->        12.74 ms/ev cosmicMuons1Leg
  ---------- ------------     --------                  ----       ------------
Job total:  6.45276 s/ev ==> 6.52211 s/ev
